#license: Apache-2.0
#mapping_set_id: https://w3id.org/lmodel/fix-protocol
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-05-27
#curie_map: 
# fix_protocol: https://w3id.org/lmodel/fix-protocol/
# linkml: https://w3id.org/linkml/
# biolink: https://w3id.org/biolink/vocab/
# schema: http://schema.org/
# PATO: http://purl.obolibrary.org/obo/PATO_
# example: http://www.example.org/rdf#
# dcterms: http://purl.org/dc/terms/
# skos: http://www.w3.org/2004/02/skos/core#
# xsd: http://www.w3.org/2001/XMLSchema#
# iso11404: https://www.iso.org/standard/39479.html#
# iso3166: https://www.iso.org/iso-3166-country-codes.html#
# iso4217: https://www.iso.org/iso-4217-currency-codes.html#
# iso10383: https://www.iso.org/standard/61067.html#
# iso639: https://www.iso.org/iso-639-language-codes.html#
# iso17442: https://www.iso.org/standard/78829.html#
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
fix_post_trade:PositionMaintenanceActionEnum#REVERSE	REVERSE	skos:exactMatch		fix_post_trade:PosMaintAction_4		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						PositionMaintenanceActionEnum			
fix_post_trade:RegistrationStatusEnum#ACCEPTED	ACCEPTED	skos:exactMatch		fix_post_trade:RegistStatus_A		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						RegistrationStatusEnum			
fix_post_trade:RegistrationStatusEnum#REJECTED	REJECTED	skos:exactMatch		fix_post_trade:RegistStatus_R		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						RegistrationStatusEnum			
fix_post_trade:RegistrationStatusEnum#HELD	HELD	skos:exactMatch		fix_post_trade:RegistStatus_H		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						RegistrationStatusEnum			
fix_post_trade:RegistrationStatusEnum#REMINDER	REMINDER	skos:exactMatch		fix_post_trade:RegistStatus_N		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						RegistrationStatusEnum			
fix_post_trade:RegistrationTransactionTypeEnum#NEW	NEW	skos:exactMatch		fix_post_trade:RegistTransType_0		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						RegistrationTransactionTypeEnum			
fix_post_trade:RegistrationTransactionTypeEnum#REPLACE	REPLACE	skos:exactMatch		fix_post_trade:RegistTransType_1		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						RegistrationTransactionTypeEnum			
fix_post_trade:RegistrationTransactionTypeEnum#CANCEL	CANCEL	skos:exactMatch		fix_post_trade:RegistTransType_2		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						RegistrationTransactionTypeEnum			
fix_post_trade:SettlementInstructionModeEnum#STANDING_INSTRUCTIONS	STANDING_INSTRUCTIONS	skos:exactMatch		fix_post_trade:SettlInstMode_1		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						SettlementInstructionModeEnum			
fix_post_trade:SettlementInstructionModeEnum#SPECIFIC_ORDER	SPECIFIC_ORDER	skos:exactMatch		fix_post_trade:SettlInstMode_4		skos:exactMatch	https://w3id.org/lmodel/fix-protocol/fix-post-trade						SettlementInstructionModeEnum			
